T	den	cp	lambda	h
659	0.937535136	32.64831031	0.055357386	19.83307862
660	0.936114364	32.65706437	0.055434741	19.8657313
661	0.934697895	32.66580478	0.055512067	19.89839274
662	0.933285709	32.6745315	0.055589362	19.93106291
663	0.931877787	32.68324454	0.055666627	19.9637418
664	0.93047411	32.69194385	0.055743861	19.99642939
665	0.929074658	32.70062944	0.055821065	20.02912568
666	0.927679412	32.70930127	0.055898239	20.06183065
667	0.926288354	32.71795934	0.055975382	20.09454428
668	0.924901464	32.72660362	0.056052495	20.12726656
669	0.923518725	32.7352341	0.056129577	20.15999748
670	0.922140116	32.74385076	0.056206628	20.19273703
671	0.92076562	32.75245359	0.056283649	20.22548518
672	0.919395219	32.76104258	0.056360638	20.25824193
673	0.918028893	32.7696177	0.056437596	20.29100726
674	0.916666625	32.77817894	0.056514523	20.32378116
675	0.915308397	32.7867263	0.056591419	20.35656361
676	0.913954191	32.79525975	0.056668284	20.38935461
677	0.912603989	32.80377929	0.056745118	20.42215413
678	0.911257773	32.81228491	0.056821919	20.45496216
679	0.909915526	32.82077658	0.05689869	20.48777869
680	0.90857723	32.82925431	0.056975429	20.52060371
681	0.907242867	32.83771807	0.057052136	20.5534372
682	0.905912421	32.84616787	0.057128811	20.58627914
683	0.904585874	32.85460368	0.057205455	20.61912953
684	0.903263209	32.86302551	0.057282066	20.65198834
685	0.901944409	32.87143334	0.057358646	20.68485557
686	0.900629456	32.87982716	0.057435194	20.71773121
687	0.899318335	32.88820697	0.057511709	20.75061522
688	0.898011028	32.89657275	0.057588192	20.78350761
689	0.896707519	32.9049245	0.057664643	20.81640836
690	0.895407792	32.91326222	0.057741062	20.84931746
691	0.894111829	32.92158589	0.057817448	20.88223488
692	0.892819614	32.92989552	0.057893802	20.91516063
693	0.891531132	32.93819109	0.057970123	20.94809467
694	0.890246366	32.9464726	0.058046411	20.981037
695	0.8889653	32.95474004	0.058122667	21.01398761
696	0.887687918	32.96299342	0.05819889	21.04694648
697	0.886414204	32.97123272	0.05827508	21.07991359
698	0.885144142	32.97945794	0.058351238	21.11288894
699	0.883877717	32.98766909	0.058427362	21.1458725
700	0.882614913	32.99586615	0.058503453	21.17886427

