T	den	cp	lambda	h
502	0.077520989	29.25847686	0.281487419	13.86833871
503	0.07736696	29.25900803	0.281960195	13.89759745
504	0.077213541	29.25954153	0.282433036	13.92685673
505	0.07706073	29.26007747	0.28290594	13.95611653
506	0.076908523	29.26061591	0.283378909	13.98537688
507	0.076756916	29.26115695	0.283851942	14.01463777
508	0.076605906	29.26170066	0.284325039	14.0438992
509	0.076455488	29.26224712	0.284798199	14.07316117
510	0.076305661	29.26279642	0.285271424	14.10242369
511	0.076156419	29.26334862	0.285744713	14.13168676
512	0.07600776	29.26390379	0.286218066	14.16095039
513	0.075859681	29.26446202	0.286691484	14.19021457
514	0.075712177	29.26502338	0.287164965	14.21947931
515	0.075565247	29.26558793	0.28763851	14.24874462
516	0.075418885	29.26615575	0.288112119	14.27801049
517	0.075273089	29.26672689	0.288585792	14.30727693
518	0.075127856	29.26730143	0.28905953	14.33654395
519	0.074983182	29.26787944	0.289533331	14.36581154
520	0.074839065	29.26846097	0.290007196	14.39507971
521	0.074695501	29.2690461	0.290481126	14.42434846
522	0.074552486	29.26963487	0.290955119	14.4536178
523	0.074410018	29.27022735	0.291429177	14.48288773
524	0.074268094	29.27082361	0.291903298	14.51215826
525	0.07412671	29.27142369	0.292377484	14.54142938
526	0.073985863	29.27202765	0.292851733	14.5707011
527	0.073845551	29.27263555	0.293326047	14.59997344
528	0.07370577	29.27324745	0.293800424	14.62924638
529	0.073566517	29.27386339	0.294274866	14.65851993
530	0.07342779	29.27448344	0.294749371	14.6877941
531	0.073289584	29.27510763	0.295223941	14.7170689
532	0.073151898	29.27573602	0.295698574	14.74634432
533	0.073014729	29.27636866	0.296173272	14.77562037
534	0.072878073	29.2770056	0.296648033	14.80489706
535	0.072741928	29.27764689	0.297122859	14.83417439
536	0.07260629	29.27829256	0.297597748	14.86345236
537	0.072471158	29.27894268	0.298072702	14.89273097
538	0.072336527	29.27959727	0.298547719	14.92201024
539	0.072202396	29.28025638	0.2990228	14.95129017
540	0.072068762	29.28092007	0.299497946	14.98057076
541	0.071935621	29.28158836	0.299973155	15.00985201
542	0.071802971	29.28226129	0.300448428	15.03913393
543	0.07167081	29.28293892	0.300923766	15.06841653
544	0.071539135	29.28362128	0.301399167	15.09769981
545	0.071407942	29.2843084	0.301874632	15.12698378
546	0.07127723	29.28500032	0.302350161	15.15626843
547	0.071146996	29.28569708	0.302825754	15.18555378
548	0.071017236	29.28639872	0.303301412	15.21483983
549	0.070887949	29.28710527	0.303777133	15.24412658
550	0.070759132	29.28781676	0.304252918	15.27341404
551	0.070630783	29.28853324	0.304728766	15.30270222
552	0.070502898	29.28925472	0.305204679	15.33199111
553	0.070375476	29.28998125	0.305680656	15.36128073
554	0.070248513	29.29071286	0.306156697	15.39057107
555	0.070122008	29.29144957	0.306632802	15.41986215
556	0.069995958	29.29219141	0.30710897	15.44915397
557	0.06987036	29.29293842	0.307585203	15.47844654
558	0.069745212	29.29369063	0.308061499	15.50773985
559	0.069620511	29.29444806	0.30853786	15.53703392
560	0.069496256	29.29521074	0.309014284	15.56632875
561	0.069372444	29.29597869	0.309490773	15.59562434
562	0.069249072	29.29675195	0.309967325	15.62492071
563	0.069126138	29.29753054	0.310443941	15.65421785
564	0.069003639	29.29831448	0.310920621	15.68351577
565	0.068881575	29.29910381	0.311397365	15.71281448
566	0.068759941	29.29989853	0.311874173	15.74211398
567	0.068638736	29.30069868	0.312351045	15.77141428
568	0.068517958	29.30150429	0.31282798	15.80071538
569	0.068397604	29.30231536	0.31330498	15.83001729
570	0.068277672	29.30313193	0.313782044	15.85932001
571	0.068158161	29.30395401	0.314259171	15.88862356
572	0.068039067	29.30478163	0.314736362	15.91792792
573	0.067920388	29.30561481	0.315213618	15.94723312
574	0.067802123	29.30645357	0.315690937	15.97653915
575	0.067684269	29.30729792	0.31616832	16.00584603
576	0.067566824	29.30814789	0.316645767	16.03515375
577	0.067449785	29.30900349	0.317123277	16.06446233
578	0.067333152	29.30986474	0.317600852	16.09377176
579	0.067216921	29.31073167	0.318078491	16.12308206
580	0.067101091	29.31160428	0.318556193	16.15239323
581	0.06698566	29.3124826	0.31903396	16.18170527
582	0.066870625	29.31336664	0.31951179	16.21101819
583	0.066755985	29.31425642	0.319989684	16.240332
584	0.066641737	29.31515195	0.320467642	16.26964671
585	0.066527879	29.31605325	0.320945664	16.29896231
586	0.06641441	29.31696034	0.32142375	16.32827882
587	0.066301327	29.31787322	0.321901899	16.35759623
588	0.066188629	29.31879192	0.322380113	16.38691457
589	0.066076313	29.31971644	0.32285839	16.41623382
590	0.065964378	29.3206468	0.323336732	16.445554
591	0.065852821	29.32158302	0.323815137	16.47487511
592	0.065741641	29.32252511	0.324293606	16.50419717
