T	den	cp	lambda	h
524	1.031969812	29.71141553	0.039549613	15.29072964
525	1.030003537	29.71620922	0.039607587	15.32044345
526	1.02804475	29.72102197	0.03966555	15.35016206
527	1.026093408	29.72585371	0.0397235	15.3798855
528	1.024149468	29.73070434	0.039781439	15.40961377
529	1.022212888	29.73557378	0.039839367	15.43934691
530	1.020283627	29.74046194	0.039897283	15.46908493
531	1.018361643	29.74536872	0.039955188	15.49882784
532	1.016446894	29.75029404	0.040013082	15.52857567
533	1.014539341	29.75523781	0.040070965	15.55832844
534	1.012638942	29.76019994	0.040128837	15.58808615
535	1.010745657	29.76518034	0.040186697	15.61784884
536	1.008859446	29.77017891	0.040244547	15.64761652
537	1.00698027	29.77519557	0.040302386	15.67738921
538	1.00510809	29.78023022	0.040360215	15.70716692
539	1.003242866	29.78528278	0.040418032	15.73694967
540	1.001384559	29.79035314	0.04047584	15.76673749
541	0.999533132	29.79544123	0.040533636	15.79653038
542	0.997688545	29.80054693	0.040591423	15.82632838
543	0.995850762	29.80567017	0.040649199	15.85613148
544	0.994019744	29.81081085	0.040706964	15.88593972
545	0.992195454	29.81596887	0.04076472	15.91575311
546	0.990377856	29.82114415	0.040822465	15.94557167
547	0.988566911	29.82633658	0.040880201	15.97539541
548	0.986762584	29.83154607	0.040937926	16.00522435
549	0.984964839	29.83677254	0.040995642	16.0350585
550	0.983173639	29.84201587	0.041053348	16.0648979
551	0.981388949	29.84727599	0.041111044	16.09474254
552	0.979610734	29.85255279	0.04116873	16.12459245
553	0.977838957	29.85784617	0.041226406	16.15444765
554	0.976073585	29.86315606	0.041284073	16.18430815
555	0.974314582	29.86848233	0.041341731	16.21417397
556	0.972561914	29.87382491	0.041399379	16.24404512
557	0.970815547	29.8791837	0.041457017	16.27392162
558	0.969075447	29.8845586	0.041514646	16.30380349
559	0.96734158	29.8899495	0.041572266	16.33369075
560	0.965613912	29.89535633	0.041629877	16.3635834
561	0.963892411	29.90077897	0.041687478	16.39348146
562	0.962177044	29.90621734	0.04174507	16.42338496
563	0.960467777	29.91167134	0.041802653	16.4532939
564	0.958764578	29.91714086	0.041860227	16.48320831
565	0.957067416	29.92262582	0.041917792	16.51312819
566	0.955376257	29.92812612	0.041975348	16.54305357
567	0.95369107	29.93364165	0.042032895	16.57298445
568	0.952011824	29.93917232	0.042090433	16.60292085
569	0.950338486	29.94471804	0.042147962	16.6328628
570	0.948671026	29.9502787	0.042205483	16.6628103
571	0.947009413	29.95585421	0.042262995	16.69276336
572	0.945353617	29.96144447	0.042320498	16.72272201
573	0.943703606	29.96704939	0.042377992	16.75268625
574	0.94205935	29.97266886	0.042435477	16.78265611
575	0.940420819	29.97830279	0.042492954	16.8126316
576	0.938787984	29.98395108	0.042550423	16.84261272
577	0.937160815	29.98961364	0.042607883	16.8725995
578	0.935539281	29.99529035	0.042665334	16.90259195
579	0.933923355	30.00098114	0.042722777	16.93259009
580	0.932313007	30.00668589	0.042780211	16.96259392
581	0.930708207	30.01240452	0.042837637	16.99260347
582	0.929108928	30.01813692	0.042895055	17.02261874
583	0.927515141	30.02388299	0.042952464	17.05263974
584	0.925926817	30.02964264	0.043009865	17.08266651
585	0.924343929	30.03541577	0.043067257	17.11269903
586	0.922766449	30.04120229	0.043124641	17.14273734
587	0.921194348	30.04700208	0.043182017	17.17278144
588	0.9196276	30.05281507	0.043239385	17.20283135
589	0.918066178	30.05864114	0.043296744	17.23288708
590	0.916510053	30.06448021	0.043354096	17.26294864
591	0.914959199	30.07033217	0.043411439	17.29301604
592	0.91341359	30.07619692	0.043468774	17.32308931
593	0.911873198	30.08207438	0.0435261	17.35316844
594	0.910337998	30.08796443	0.043583419	17.38325346
595	0.908807963	30.09386699	0.043640729	17.41334437
596	0.907283066	30.09978196	0.043698032	17.4434412
597	0.905763284	30.10570924	0.043755326	17.47354394
598	0.904248588	30.11164873	0.043812613	17.50365262
599	0.902738955	30.11760033	0.043869891	17.53376724
600	0.901234358	30.12356396	0.043927161	17.56388782
601	0.899734772	30.1295395	0.043984423	17.59401437
602	0.898240173	30.13552687	0.044041677	17.62414691
603	0.896750536	30.14152598	0.044098924	17.65428543
604	0.895265835	30.14753671	0.044156162	17.68442996
605	0.893786046	30.15355898	0.044213392	17.71458051
